image_id,orig_file,blur_file,orig_text,blur_text,orig_confidence,blur_confidence,cer,wer
0009059,0009059_orig.png,0009059_blur.png,"ee EE
of Asset Pricing. In general, there ma;
ne equivalent martingale measure. ","of Baan Pong We game, Came omy
Se ee CO
er Lem Nae mannan oe the pare:
Ce CY eo
",88.3,23.3,0.7567,0.9821
0009060,0009060_orig.png,0009060_blur.png,"Kapprow 2= =
res T348E-17 _1.359E-1
orthogy | 3.787E-17  4.893E-1
orthogy _| 8.7",Ss,64.9,32.0,0.9921,1.0000
0009061,0009061_orig.png,0009061_blur.png,"od with the partition (4, +, ©), Me Chie penkis
study of electrical networks sha","theta i as
stuthy sof shercteicall sertweseths sate He
ee Ave atts i thee ete pa",87.9,33.4,0.6207,0.9697
0009062,0009062_orig.png,0009062_blur.png,"ture of subjective worlds,
lessly in the user’s percep
The final area of compari","ture of subjective worlds,
lessly in the user's percep
The final area of compari",93.9,91.1,0.0100,0.0588
0009063,0009063_orig.png,0009063_blur.png,"if search were based on both assembli
onents (ie., if grouping has occurred, |
\","cenh wor heed on tech enemil
cmemts (he. © grouping ee cccurned, |
all
General M",88.8,43.1,0.5107,0.8961
0009064,0009064_orig.png,0009064_blur.png,"[6] S. Brin and L. Page. The anatomy of a
Web search engine. Computer Networks a","m arte ln
hae a Jee",84.8,33.8,0.9697,0.9907
0009065,0009065_orig.png,0009065_blur.png,"4 104-104 (2009).

rURIER J., LONG L.: Archae-
ing digital photogrammetry and
st","if 008-100).
TURHE J. LOW L: Anhne.
ng dighal picengremenctry ond
teddy of ctren",79.1,38.0,0.4928,0.9455
0009066,0009066_orig.png,0009066_blur.png,"sions. These are regions where localiz
re rapid the decay the better the exp
rm ","me ee ee
-_— eee ee & ow
— ee ee
ee Ff he re © oe
oe ee ee
ee
Te Ae ee ee ae gy
",89.0,32.4,0.8092,1.0000
0009069,0009069_orig.png,0009069_blur.png,"5 are denotes Vy
for forming comments and wh
« */ form comments do not nes
pecia","5 are denotes Ny
for forming comments and wh
* */ form comments do not nes
pecia",83.3,81.5,0.0250,0.1034
0010952,0010952_orig.png,0010952_blur.png,"y consider it reasonable
w you view the process,
alyze “smaller” sets of
s-playi","rae ape
meas
a

<r
wap ae mer bear
eer
7 es angled tw emete",91.2,33.5,0.8221,1.0000
0010953,0010953_orig.png,0010953_blur.png,"[9 [sia [10 [22.54 [10]
[io [ias2 [10 [0.326 [10 |
[ 10 [4x90 [10 [0.186 [10 |
[","DNase
CO XS oO
Lie fase Te Tae Pe
Le Dus De Tas De]
Lee Tea
OC oe
Le ee Tae TT
O",63.6,35.8,0.7668,0.9889
0010954,0010954_orig.png,0010954_blur.png,"h has

1993).

is cer- |

of the

ation; 4

ith an

1 that

k.

le im-

ouch);

","ih has

1993)

is cer-

of the 5 ‘

ation:

ith an

1 that

k.

e im-

ouch)

4 ",78.3,62.5,0.2150,0.4186
0010956,0010956_orig.png,0010956_blur.png,"aints for nested classes. There is an obviou
nested interfaces to signify that a","vinta fit Reehed ehaeeee. There We an abbionk
Heated Werhieee 10 mem tat cea
i e",91.4,34.1,0.6854,0.9574
0014623,0014623_orig.png,0014623_blur.png,"of gaussians:
p(0,6,8) = T(6,00)T(¢,26)
= T(0,00)P(d.06
Considering the invarian","fh Ease =
Hb.0.0) = VOA)NO46)
= 16.0564
Considering the imvatiant seate of
geome",77.1,54.7,0.3875,0.7358
0014624,0014624_orig.png,0014624_blur.png,"al Environment Science Laborat
Sex-related differences in spatial
tegal, M. (ed.","al Environment Science Labora
Sex-related differences in spatial
negal, M. (ed.)",91.7,90.4,0.0161,0.1111
0014625,0014625_orig.png,0014625_blur.png,", the nature (attribute list) of a relation
changed). We desperately needed a

t","ts eaten (emer iinate tet) oh 9 eckatee
, changed) We dovperancty eecded s
we ha",91.3,35.6,0.5011,1.0000
0014626,0014626_orig.png,0014626_blur.png,"treatment purposes, ITS p
parasitologically positive s:
primers are designed ba
","eae wpe, HE 6
Har KATIE
Wie ae ecg ta
Aone pbiitiy ene eat
(BORA Om ANT Hy",86.5,21.1,0.7037,1.0000
0014627,0014627_orig.png,0014627_blur.png,"es to grapple with the disparity of n
the two campuses. The Menifee s
rolls a la","wumaumunes
OA EAE ROE
a
ipsa hasta aa 1
Se ironing",85.5,28.0,0.9229,0.9877
0014628,0014628_orig.png,0014628_blur.png,"pneeeern Hypergrap!
: Portonor
: ester

H ‘disk

: cache

: ‘ter

H 5
1 [ormvert",iS,45.0,37.0,0.9931,1.0000
0014629,0014629_orig.png,0014629_blur.png,"8 Related wor
In the area of testin
proposals, ranging fr
ging (eg. [Duc99]) ar
","8 Related wor
In the area of testin
proposals, ranging fr
ging (eg. [Duc99}) ax
",90.9,82.7,0.0394,0.2059
0014630,0014630_orig.png,0014630_blur.png,"multiple attributes of a
- mechanisms in order
defines preferences in
that best ","ultiple wlieibutew ana
Pmechaniane in onder
dofinoy proferenden tn
that bent sal",88.3,53.9,0.2563,0.7381
0014631,0014631_orig.png,0014631_blur.png,"lead of changing the packet size, it woul
1e for a at the cost of having a less ","vt
We Eve a Nett",88.4,37.2,0.9585,0.9808
0014632,0014632_orig.png,0014632_blur.png,,"ig rot eh Sd ert Se Ge ee
ee a
Bo, Ce
Fo
—
a
. oe
ee eee ee Rese eee",0.0,16.5,1.0000,1.0000
0014633,0014633_orig.png,0014633_blur.png,"offset can be

/60 second period.

phase of the physical

1 interference is

rem",,84.6,0.0,1.0000,1.0000
0014634,0014634_orig.png,0014634_blur.png,"it has been overwritten earlier on the
value of V2.
tis problem in the compiler ","UG Re ere were he
ped J PI NRRE AY NRT
DANS AN
Sige he
chiens

Wee igh erie, Pe ",90.3,30.2,0.8889,0.9859
0014635,0014635_orig.png,0014635_blur.png,"BO yo eae ee ee
976) 1-6. vol. 17, 2005, pp.
ching in computer [38] S. Zucker, E","ety
; (4 evade th",77.8,26.2,0.9731,1.0000
0014636,0014636_orig.png,0014636_blur.png,"he Date: header field of the message as
ig the number of seconds from the ep
to ","hn Gate inakes bet A Nir ten meaty
ug Siw sassins A mor snctn eine Aho 14
Ye Naa",92.0,29.2,0.7155,0.9844
0014637,0014637_orig.png,0014637_blur.png,"—
scuss how we build a graph from an image
s been extracted from images (see fig","——
ee how we build a @raph fran an linge
1 hoon extracted fram tnnagon (Hoe Mg. ",90.7,50.7,0.3217,0.7143
